ISSN,titulo, poblacion,comunidad_autonoma,comprende,año_inicio,año_final
2695-5504,Boletín del Laboratorio de Radiactividad,Madrid,Comunidad de Madrid,De 1/1909 a 1910,1909,1910
2605-4280,Boletín del Liceo (Liceo Artístico y Literario de Madrid),Madrid,Comunidad de Madrid,Del 1/1/1846 al 10/6/1846,1846,1846
2172-6000,Boletín del Patronato Real para la Represión de la Trata de Blancas,Madrid,Comunidad de Madrid,Del n. 1 (7/1907) al n. 75 (2/1916),1907,1916
0213-2664,Boletín del Sindicato Nacional Textil,Madrid,Comunidad de Madrid,Del 6/1942 al 11/1942,1942,1942
1698-9406,El Boletín del ejército (Madrid),Madrid,Comunidad de Madrid,Del 15/08/1843 al 24/06/1846,1843,1846
1577-0400,Boletín histórico (Madrid),Madrid,Comunidad de Madrid,Del 01/1880 al 01/1888,1880,1888
1131-0022,Boletín informativo del Ayudante Técnico Sanitario,Madrid,Comunidad de Madrid,Del 1/10/1956 al 1/1959,1956,1959
2171-2379,Boletín musical (Madrid),Madrid,Comunidad de Madrid,Del 10/10/1893 al 27/08/1918,1893,1918
2173-5301,Boletín oficial de instrucción pública,Madrid,Comunidad de Madrid,Del 28/2/1841 al 30/12/1847,1841,1847
2171-9802,Boletín oficial de la Dirección General de Aeronáutica,Madrid,Comunidad de Madrid,Del n. 67 (7/1934) al n. 91 (7/1936),1934,1936
2171-9799,Boletín oficial de la Dirección General de Aeronáutica Civil,Madrid,Comunidad de Madrid,Del n. 29 (5/1931) al n. 66 (6/1934),1931,1934
2171-9780,Boletín oficial de la Dirección General de Navegación y Transportes Aéreos,Madrid,Comunidad de Madrid,Del n. 1 (1/1929) al n. 28 (4/1931),1929,1931
1131-1444,Boletín oficial de la Sociedad Hahnemannianna Matritense,Madrid,Comunidad de Madrid,Del 1846 al 1850,1846,1850
1134-1122,Boletín oficial de la Sociedad de Autores Españoles,Madrid,Comunidad de Madrid,Del 1/1903 al 12/1904,1903,1904
0038-6413,Boletín oficial de la propiedad industrial,Madrid,Comunidad de Madrid,Del 1/1/1906 al 16/12/1964. Del n. 465 al 1.865,1906,1964
0211-0148,Boletín oficial de la propiedad intelectual e industrial,Madrid,Comunidad de Madrid,Del 1/9/1886 al 16/12/1905. Del n. 1 al n. 464,1886,1905
1888-8097,Boletín oficial de la zona de influencia española en Marruecos,Madrid,Comunidad de Madrid,Del 10/04/1913 al 25/12/1918. Del n. 1 al n. 42,1913,1918
2173-9560,Boletín oficial del Centro Instructivo y Protector de Ciegos,Madrid,Comunidad de Madrid,Del 12/1931 al 6/1933. Del n. 13 al n. 26,1931,1933
2171-3774,Boletín oficial del Gran Oriente Español,Madrid,Comunidad de Madrid,Del 01/07/1889 al 31/12/1912,1889,1912
2171-3723,Boletín oficial del Gran Oriente de España,Madrid,Comunidad de Madrid,Del 01/05/1871 al 01/12/1873. Del n. 1 al n. 63,1871,1873
1698-9600,Boletín oficial del ejército,Madrid,Comunidad de Madrid,Del 10/8/1847 al 8/12/1852,1847,1852
2171-3782,Boletín oficial y revista masónica del Supremo Consejo del Grado 33 para España y sus dependencias,Madrid,Comunidad de Madrid,Del 09/1932 al 09/1935,1932,1935
2173-4747,Boletín radiográfico,Madrid,Comunidad de Madrid,Del 2/1931 al 6/1934. Del n. 16 al n. 21,1931,1934
2173-4755,Brújula (Madrid),Madrid,Comunidad de Madrid,Del 1/1934 al 2/1934. Del n. 1 al n. 2,1934,1934
2171-7435,Buen humor (Madrid),Madrid,Comunidad de Madrid,Del 4/12/1921 al 27/12/1931. Del n. 1 al n. 521,1921,1931
2444-0086,El Buen tono,Madrid,Comunidad de Madrid,Del n. 1 (15/1/1839) al n. 12 (30/6/1839),1839,1839
2173-9587,La Buena nueva (Madrid. 1873),Madrid,Comunidad de Madrid,Del 10/10/1873 al 10/02/1874. Del n. 1 al n. 9,1873,1874
1889-8629,El Buñuelo (Madrid),Madrid,Comunidad de Madrid,Del 04/04/1880 al 10/03/1881,1880,1881
2172-4237,C.E.D.A. (Madrid),Madrid,Comunidad de Madrid,Del 12/1933 al 12/1935,1933,1935
2171-6358,CILACC (Ed. española),Madrid,Comunidad de Madrid,Del 4/1933 al 5/1935,1933,1935
1132-2942,Caballo verde para la poesía,Madrid,Comunidad de Madrid,Del 10/1935 al 01/1936. Del n. 1 al n. 4,1935,1936
1577-6441,El Cabecilla (Madrid),Madrid,Comunidad de Madrid,Del 02/09/1882 al 08/02/1890,1882,1890
1888-8119,El Café (Madrid),Madrid,Comunidad de Madrid,Del 30/10/1871 al 25/03/1872,1871,1872
1888-1858,Café-!! (Madrid. 1906),Madrid,Comunidad de Madrid,Del 09/12/1906 al 31/05/1908,1906,1908
2171-1712,Calendario de La Esperanza,Madrid,Comunidad de Madrid,Del 01/01/1859 al 01/01/1874,1859,1874
2173-3317,Calendario del agricultor hortelano y ganadero,Madrid,Comunidad de Madrid,1865,1865,1865
2171-3480,Calendario histórico musical,Madrid,Comunidad de Madrid,1873,1873,1873
2171-1704,Calendario musical,Madrid,Comunidad de Madrid,Del 1859 al 1860,1859,1860
0211-285X,Cambio 16,Madrid,Comunidad de Madrid,Del 6/9/1976 al 28/12/2009,1976,2009
2605-4191,Camino adelante...  (Villarejo de Salvanés),Madrid,Comunidad de Madrid,Del 1/4/1923 al 1/6/1924,1923,1924
2171-1674,La Canción popular,Madrid,Comunidad de Madrid,Del 01/04/1922 al 01/01/1923. Del n. 1 al n. 14,1922,1923
2487-9576,El Caos (Madrid),Madrid,Comunidad de Madrid,Del 3/4/1870 al 4/7/1870,1870,1870
2174-6346,El Capuchón (Madrid),Madrid,Comunidad de Madrid,Del 23/4/1888 al 1/7/1888,1888,1888
2444-2615,El Cardo,Madrid,Comunidad de Madrid,Del 16/2/1894 al 30/6/1903,1894,1903
2172-3680,La Caricatura (Madrid. 1884),Madrid,Comunidad de Madrid,Del n. 1 (3/11/1884) al n. 107 (28/4/1887),1884,1887
2172-3699,La Caricatura (Madrid. 1892),Madrid,Comunidad de Madrid,Del n. 14 (22/10/1892) al n. 69 (12/11/1893),1892,1893
0214-5057,La Caridad (Madrid. 1877),Madrid,Comunidad de Madrid,Del n. 1 (1/4/1877) al n. 16 (30/5/1877),1877,1877
2173-3341,Las Carreras en España,Madrid,Comunidad de Madrid,Del 1912 al 1913,1912,1913
2171-7176,La Carta (Madrid. 1847),Madrid,Comunidad de Madrid,Del 03/07/1847 al 24/01/1848. Del n. 113 al n. 332,1847,1848
1886-0249,Cartas españolas,Madrid,Comunidad de Madrid,Del 26/03/1831 al 01/11/1832,1831,1832
2697-0457,Cartel (Madrid. 1935),Madrid,Comunidad de Madrid,7/4/1935,1935,1935
2483-5021,Cartel de las artes,Madrid,Comunidad de Madrid,Del n. 2 (1/7/1945) al n. 10 (10/3/1946),1945,1946
2171-7370,El Castellano (Madrid),Madrid,Comunidad de Madrid,Del 1/8/1836 al 13/4/1846,1836,1846
2172-7031,Castilla (Madrid. 1924),Madrid,Comunidad de Madrid,Del 17/2/1924 al 19/3/1925,1924,1925
2255-0038,Catálogo general / Sociedad de Autores Españoles,Madrid,Comunidad de Madrid,1913,1913,1913
2171-7192,El Católico (Madrid),Madrid,Comunidad de Madrid,Del 01/03/1840 al 14/08/1857,1840,1857
2172-9840,El Céfiro (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (3/4/1864) al n. 9 (5/6/1864),1864,1864
1699-7506,El Censor (Madrid. 1781),Madrid,Comunidad de Madrid,Del n. 1 al n. 167,1781,1781
1577-5356,El Censor (Madrid. 1820),Madrid,Comunidad de Madrid,Del 01/01/1820 al 13/07/1822,1820,1822
2171-3405,El Centinela de la homeopatía,Madrid,Comunidad de Madrid,Del 10/12/1850 al 10/09/1851. Del n. 1 al n. 27,1850,1851
2481-0592,Cervantes (Madrid),Madrid,Comunidad de Madrid,Del 7/7/1875 al 30/6/1876,1875,1876
2174-5951,Cervantes (Madrid. 1916),Madrid,Comunidad de Madrid,De 09/1916 a 12/1920,1916,1920
2171-2654,El Cetro constitucional,Madrid,Comunidad de Madrid,Del 1820 al 1821. Del n. 1 al n. 7,1820,1821
2171-3456,Chamberí (Madrid. 1913),Madrid,Comunidad de Madrid,Del 14/12/1913 al 31/03/1914,1913,1914
2171-1747,El Chispero (Madrid),Madrid,Comunidad de Madrid,Del 10/05/1914 al 07/06/1914,1914,1914
2171-5386,La Ciencia cristiana,Madrid,Comunidad de Madrid,De 1877 a 1886,1877,1886
2444-6351,La Ciencia eléctrica,Madrid,Comunidad de Madrid,Del 1/7/1890 al 16/12/1890,1890,1890
1577-3671,La Ciencia (Madrid. 1857),Madrid,Comunidad de Madrid,Del 8/07/1857 al 15/08/1857. Del n. 1 al n. 6,1857,1857
1699-3594,Cinco días (Madrid),Madrid,Comunidad de Madrid,1978-2009 y 2014-,1978,2023
2171-7869,Cine Sparta,Madrid,Comunidad de Madrid,Del n. 33 (28/3/1936) al n. 35 (30/4/1936),1936,1936
2173-4860,Cinegramas (Madrid),Madrid,Comunidad de Madrid,Del 1/09/1934 al 19/07/1936. Del n. 1 al n. 97,1934,1936
